objetivo,modelo,mae,mse,rmse,r2,tipo,hiperparametro
Open,LinearRegression,13.428518466260956,413.10601766511945,20.32500965965624,0.9995095732607777,Tradicional,default
Open,LinearRegression,1155.9575031025304,1336650.395262558,1156.1359761129129,-0.5868301762675561,Tradicional,ajustada1
Open,LinearRegression,13.432917792825714,412.8769164707392,20.31937293497856,0.9995098452426587,Tradicional,ajustada2
Open,Ridge,14.36862775322381,445.9921869978225,21.118527102945,0.9994705318135423,Tradicional,default
Open,Ridge,13.41980113598464,407.38581822115293,20.183800886382944,0.9995163641053577,Tradicional,ajustada1
Open,Ridge,17.07842059631992,595.0463151968947,24.393571185804156,0.9992935793438749,Tradicional,ajustada2
Open,Lasso,15.498153776495943,474.6734547064605,21.78700196691735,0.9994364822959908,Tradicional,default
Open,Lasso,15.879218556137344,539.5552571410672,23.228328763410147,0.9993594566187016,Tradicional,ajustada1
Open,Lasso,15.120274182952349,494.3738565789052,22.23451948162823,0.9994130945857215,Tradicional,ajustada2
Open,BayesianRidge,13.428387288366626,413.0942424134429,20.324719983641668,0.9995095872399938,Tradicional,default
Open,BayesianRidge,13.428387288366626,413.0942424134429,20.324719983641668,0.9995095872399938,Tradicional,ajustada1
Open,BayesianRidge,13.428387285119735,413.09424212214486,20.324719976475563,0.9995095872403397,Tradicional,ajustada2
Open,DecisionTree,1165.407543307942,2182037.344686014,1477.1720768705366,-1.5904475220765226,Tradicional,default
Open,DecisionTree,1247.1859541338051,2389509.2220247635,1545.8037462837135,-1.8367517440741823,Tradicional,ajustada1
Open,DecisionTree,1169.8937198970182,2194577.222018864,1481.4105514741225,-1.6053344781788703,Tradicional,ajustada2
Open,RandomForest,1168.0993555311013,2190319.1948626046,1479.9727007153222,-1.6002794794994353,Tradicional,default
Open,RandomForest,1167.7539844297416,2189516.248866456,1479.7014053066437,-1.599326246746041,Tradicional,ajustada1
Open,RandomForest,1168.9637732720737,2192603.8775252015,1480.7443660285194,-1.6029917843811403,Tradicional,ajustada2
Open,HistGradientBoosting,1205.0242015200997,2282676.8733719117,1510.8530283822818,-1.7099236705220235,Tradicional,default
Open,HistGradientBoosting,1228.0547322459272,2341542.5028742244,1530.2099538541188,-1.7798071326227523,Tradicional,ajustada1
Open,HistGradientBoosting,1203.7271707081475,2278998.648879427,1509.6352701495243,-1.705556995705296,Tradicional,ajustada2
Open,XGBoost,1201.8193359375,2274793.25,1508.2417743849956,-1.7005643844604492,Tradicional,default
Open,XGBoost,1201.649169921875,2275116.0,1508.3487660352296,-1.7009472846984863,Tradicional,ajustada1
Open,XGBoost,1205.183349609375,2284776.25,1511.5476340492878,-1.7124159336090088,Tradicional,ajustada2
High,LinearRegression,20.638134725156608,901.5893288362861,30.026477129964583,0.998935157300813,Tradicional,default
High,LinearRegression,1165.0231127487682,1358171.7475877972,1165.4062586016078,-0.6040998084213427,Tradicional,ajustada1
High,LinearRegression,20.837886889414673,909.7252134906149,30.16165137207535,0.998925548228147,Tradicional,ajustada2
High,Ridge,21.330086446703618,938.2355896773664,30.630631558578195,0.9988918753962239,Tradicional,default
High,Ridge,20.675801742898003,897.9288974490614,29.965461742630655,0.9989394805370291,Tradicional,ajustada1
High,Ridge,23.091623898546022,1080.0648231985215,32.864339689069084,0.9987243647358646,Tradicional,ajustada2
High,Lasso,22.041968320138874,987.2005203640756,31.41974729949424,0.9988340442448446,Tradicional,default
High,Lasso,21.165644322671426,919.3874244622224,30.32140208602205,0.9989141364528719,Tradicional,ajustada1
High,Lasso,21.448064599025912,941.5775845484632,30.68513621525026,0.9988879282567389,Tradicional,ajustada2
High,BayesianRidge,20.637522448713902,901.3897257971755,30.023153162137643,0.9989353930465479,Tradicional,default
High,BayesianRidge,20.637522448713902,901.3897257971755,30.023153162137643,0.9989353930465479,Tradicional,ajustada1
High,BayesianRidge,20.637522435420316,901.3897209405413,30.02315308125616,0.9989353930522838,Tradicional,ajustada2
